rank,name,year
801,Pondicherry University,2018
801,Pontifical Catholic University of Rio Grande do Sul (PUCRS),2018
801,Pontifical Catholic University of Valparaíso,2018
801,Pontifícia Universidade Católica do Paraná,2018
801,Prince of Songkla University,2018
801,Riga Technical University,2018
801,Ritsumeikan University,2018
801,Robert Gordon University,2018
801,Saga University,2018
801,Saitama University,2018
801,Saitama Medical University,2018
801,"University of Santiago, Chile (USACH)",2018
801,Seoul National University of Science and Technology (SeoulTech),2018
801,Shaanxi Normal University,2018
801,Shahid Beheshti University,2018
801,University of Sharjah,2018
801,Sheffield Hallam University,2018
801,Shiga University of Medical Science,2018
801,Shimane University,2018
801,Shinshu University,2018
801,Shiraz University,2018
801,Shizuoka University,2018
801,Showa University,2018
801,University of Silesia in Katowice,2018
801,Simón Bolívar University,2018
801,Slovak University of Technology in Bratislava,2018
801,Sophia University,2018
801,University of South Africa,2018
801,Southern Federal University,2018
801,University of Southern Mississippi,2018
801,South Valley University,2018
801,Sri Venkateswara University,2018
801,State University of Ponta Grossa,2018
801,Suez Canal University,2018
801,Sultan Qaboos University,2018
801,University of Talca,2018
801,Taras Shevchenko National University of Kyiv,2018
801,Technical University of Košice,2018
801,Universiti Tenaga Nasional (UNITEN),2018
801,Texas State University,2018
801,Thapar Institute of Engineering and Technology,2018
801,TOBB University of Economics and Technology,2018
801,Tokai University,2018
801,Tokushima University,2018
801,Tokyo University of Marine Science and Technology,2018
801,Tomas Bata University in Zlín,2018
801,University of Toyama,2018
801,Toyohashi University of Technology (TUT),2018
801,University of Valparaíso,2018
801,VIT University,2018
801,VSB - Technical University of Ostrava,2018
801,University of West Bohemia,2018
801,West University of Timişoara,2018
801,University of Wrocław,2018
801,Wuhan University of Technology,2018
801,Xiangtan University,2018
801,Xidian University,2018
801,Yamagata University,2018
801,Yamaguchi University,2018
801,University of Yamanashi,2018
801,Yıldız Technical University,2018
801,Yokohama National University,2018
801,Yuan Ze University,2018
801,University of Zagreb,2018
1001,Akita University,2018
1001,Alzahra University,2018
1001,Amity University,2018
1001,Anadolu University,2018
1001,"University of the Andes, Venezuela",2018
1001,Ankara University,2018
1001,Universidad Autónoma del Estado de Hidalgo,2018
1001,Universidad Autónoma del Estado de Mexico (UAEMex),2018
1001,Universidad Autónoma de Nuevo León (UANL),2018
1001,Universidad Autónoma de Yucatán,2018
1001,Autonomous University of Baja California,2018
1001,Bahauddin Zakariya University,2018
1001,Benemérita Universidad Autónoma de Puebla,2018
1001,University of Birjand,2018
1001,Chaoyang University of Technology,2018
1001,Chiba Institute of Technology,2018
1001,University of Dhaka,2018
1001,Dokuz Eylül University,2018
1001,Doshisha University,2018
1001,Universidade Estadual de Maringá,2018
1001,Universidade Estadual do Oeste do Paraná (Unioeste),2018
1001,Far Eastern Federal University,2018
1001,Federal University of Goiás,2018
1001,Federal University of Lavras,2018
1001,Universidade Federal de Ouro Preto (UFOP),2018
1001,Universidade Federal do Paraná (UFPR),2018
1001,Federal University of Santa Maria,2018
1001,Federal University of Viçosa,2018
1001,Fluminense Federal University,2018
1001,University of Fukui,2018
1001,Gazi University,2018
1001,"G.B. Pant University of Agriculture & Technology, Pantnagar",2018
1001,University of Gdańsk,2018
1001,GITAM University,2018
1001,Government College University Lahore,2018
1001,University of Guadalajara,2018
1001,Guangxi University,2018
1001,The Hashemite University,2018
1001,University of Hyogo,2018
1001,Ibaraki University,2018
1001,Instituto Politécnico Nacional (IPN),2018
1001,IPB University,2018
1001,Ivane Javakhishvili Tbilisi State University,2018
1001,Ivan Franko National University of Lviv,2018
1001,Jawaharlal Nehru Technological University Anantapur (JNTUA),2018
1001,Kanagawa University,2018
1001,Kansai University,2018
1001,Kaunas University of Technology,2018
1001,King Mongkut's University of Technology North Bangkok,2018
1001,Kogakuin University,2018
1001,Kwansei Gakuin University,2018
1001,University of Lahore,2018
1001,University of Łódź,2018
1001,Lodz University of Technology,2018
1001,Londrina State University,2018
1001,Lviv Polytechnic National University,2018
1001,Maharaja Sayajirao University of Baroda,2018
1001,Manipal Academy of Higher Education,2018
1001,Meijo University,2018
1001,Ming Chuan University,2018
1001,University of Monastir,2018
1001,University of Mysore,2018
1001,National Chiayi University,2018
1001,National University of Kaohsiung,2018
1001,National Research University of Electronic Technology (MIET),2018
1001,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,2018
1001,Oita University,2018
1001,Ondokuz Mayis University,2018
1001,Perm State University,2018
1001,University of Peshawar,2018
1001,PMAS Arid Agriculture University Rawalpindi,2018
1001,PSG College of Technology,2018
1001,RUDN University,2018
1001,SASTRA University,2018
1001,Sathyabama Institute of Science and Technology,2018
1001,Sechenov University,2018
1001,Shanghai Maritime University,2018
1001,Shibaura Institute of Technology,2018
1001,Siberian Federal University,2018
1001,Sidi Mohamed Ben Abdellah University,2018
1001,Sofia University,2018
1001,Southwest Jiaotong University,2018
1001,SRM Institute of Science and Technology,2018
1001,Tamil Nadu Agricultural University,2018
1001,Tamkang University,2018
1001,Technical University of Liberec,2018
1001,Tokyo City University,2018
1001,Tokyo Denki University,2018
1001,Tottori University,2018
1001,Toyo University,2018
1001,University of Tunis El Manar,2018
1001,Unisinos University,2018
1001,Ural Federal University,2018
1001,Universiti Utara Malaysia,2018
1001,Utsunomiya University,2018
1001,"University of Veterinary and Animal Sciences, Lahore",2018
1001,V.N. Karazin Kharkiv National University,2018
1001,Volgograd State Technical University,2018
1001,Voronezh State University,2018
1001,Yazd University,2018
1001,Yeditepe University,2018
1001,University of Zanjan,2018
1,University of Oxford,2019
2,University of Cambridge,2019
3,Stanford University,2019
4,Massachusetts Institute of Technology,2019
5,California Institute of Technology,2019
6,Harvard University,2019
7,Princeton University,2019
8,Yale University,2019
9,Imperial College London,2019
10,The University of Chicago,2019
11,ETH Zurich,2019
12,Johns Hopkins University,2019
12,University of Pennsylvania,2019
14,UCL,2019
15,"University of California, Berkeley",2019
16,Columbia University,2019
17,"University of California, Los Angeles",2019
18,Duke University,2019
19,Cornell University,2019
20,University of Michigan-Ann Arbor,2019
21,University of Toronto,2019
22,Tsinghua University,2019
23,National University of Singapore,2019
24,Carnegie Mellon University,2019
25,Northwestern University,2019
26,London School of Economics and Political Science,2019
27,New York University,2019
28,University of Washington,2019
29,University of Edinburgh,2019
30,"University of California, San Diego",2019
31,Peking University,2019
32,LMU Munich,2019
32,University of Melbourne,2019
34,Georgia Institute of Technology,2019
35,École Polytechnique Fédérale de Lausanne,2019
36,University of Hong Kong,2019
37,University of British Columbia,2019
38,King’s College London,2019
39,University of Texas at Austin,2019
40,Karolinska Institute,2019
41,The Hong Kong University of Science and Technology,2019
41,Paris Sciences et Lettres – PSL Research University Paris,2019
42,The University of Tokyo,2019
43,University of Wisconsin-Madison,2019
44,McGill University,2019
44,Technical University of Munich,2019
47,Universität Heidelberg,2019
48,KU Leuven,2019
49,Australian National University,2019
50,University of Illinois at Urbana-Champaign,2019
51,"Nanyang Technological University, Singapore",2019
52,"University of California, Santa Barbara",2019
53,Brown University,2019
53,Chinese University of Hong Kong,2019
54,Washington University in St Louis,2019
56,University of North Carolina at Chapel Hill,2019
57,University of Manchester,2019
58,Delft University of Technology,2019
59,"University of California, Davis",2019
59,The University of Sydney,2019
59,Wageningen University & Research,2019
62,University of Amsterdam,2019
63,Seoul National University,2019
64,Purdue University West Lafayette,2019
65,Kyoto University,2019
66,University of Southern California,2019
67,Humboldt University of Berlin,2019
68,Leiden University,2019
69,The University of Queensland,2019
70,Erasmus University Rotterdam,2019
71,University of Minnesota,2019
71,Ohio State University (Main campus),2019
73,Sorbonne University,2019
74,Boston University,2019
74,Utrecht University,2019
76,University of Freiburg,2019
77,McMaster University,2019
78,University of Bristol,2019
79,University of Groningen,2019
79,University of Warwick,2019
81,Penn State (Main campus),2019
82,"University of Maryland, College Park",2019
82,Sungkyunkwan University (SKKU),2019
84,Emory University,2019
84,Monash University,2019
86,Rice University,2019
87,RWTH Aachen University,2019
87,Uppsala University,2019
89,University of Tübingen,2019
90,Charité - Universitätsmedizin Berlin,2019
90,University of Montreal,2019
90,University of Zurich,2019
93,University of Science and Technology of China,2019
93,University of Glasgow,2019
93,Michigan State University,2019
96,"University of California, Irvine",2019
96,UNSW Sydney,2019
98,Lund University,2019
99,Dartmouth College,2019
99,University of Helsinki,2019
101,Zhejiang University,2019
102,Korea Advanced Institute of Science and Technology (KAIST),2019
103,University of Basel,2019
104,Free University of Berlin,2019
104,Fudan University,2019
106,University of Sheffield,2019
107,University of Virginia (Main campus),2019
108,École Polytechnique,2019
109,Georgetown University,2019
110,University of Bern,2019
110,University of Bonn,2019
110,City University of Hong Kong,2019
110,University of Pittsburgh-Pittsburgh campus,2019
114,University of Colorado Boulder,2019
114,Durham University,2019
116,University of Birmingham,2019
116,University of Copenhagen,2019
118,University of Southampton,2019
119,University of York,2019
120,Trinity College Dublin,2019
121,University of Oslo,2019
121,Vanderbilt University,2019
123,Aarhus University,2019
123,Arizona State University (Tempe),2019
123,University of Göttingen,2019
123,University of Mannheim,2019
123,Radboud University Nijmegen,2019
128,Université Catholique de Louvain,2019
128,Maastricht University,2019
130,Queen Mary University of London,2019
131,Technical University of Berlin,2019
132,University of Alberta,2019
132,Case Western Reserve University,2019
134,Nanjing University,2019
134,The University of Western Australia,2019
135,University of Adelaide,2019
135,University of Geneva,2019
135,University of Hamburg,2019
135,Karlsruhe Institute of Technology,2019
135,Pompeu Fabra University,2019
141,University of Exeter,2019
142,Pohang University of Science and Technology (POSTECH),2019
143,Ghent University,2019
143,University of Vienna,2019
145,Autonomous University of Barcelona,2019
146,University of Cologne,2019
146,Indiana University,2019
146,Lancaster University,2019
149,University of Nottingham,2019
149,Ulm University,2019
151,TU Dresden,2019
152,Tufts University,2019
153,University of Leeds,2019
153,Sant’Anna School of Advanced Studies – Pisa,2019
153,Stockholm University,2019
156,University of Cape Town,2019
156,University of Florida,2019
158,University of Aberdeen,2019
159,University of Arizona,2019
159,Hong Kong Polytechnic University,2019
159,University of Würzburg,2019
161,Scuola Normale Superiore di Pisa,2019
161,University of Sussex,2019
163,University of Rochester,2019
163,Technical University of Denmark,2019
165,University of St Andrews,2019
166,Vrije Universiteit Amsterdam,2019
167,"University of California, Santa Cruz",2019
167,Eindhoven University of Technology,2019
167,University of Leicester,2019
170,National Taiwan University (NTU),2019
171,Newcastle University,2019
171,Texas A&M University,2019
173,University of Notre Dame,2019
175,University of Erlangen-Nuremberg,2019
176,University of Lausanne,2019
176,University of Ottawa,2019
176,Rutgers University – New Brunswick,2019
179,University of Alabama at Birmingham,2019
180,University of Bologna,2019
181,Aalto University,2019
181,George Washington University,2019
181,University of Liverpool,2019
184,University of Münster,2019
184,"Northeastern University, US",2019
184,University of Twente,2019
187,Cardiff University,2019
187,KTH Royal Institute of Technology,2019
189,University of Konstanz,2019
189,Shanghai Jiao Tong University,2019
190,University of Duisburg-Essen,2019
190,University of East Anglia,2019
190,Western University,2019
194,Aalborg University,2019
194,Paris Diderot University – Paris 7,2019
196,University of Technology Sydney,2019
197,University of Bergen,2019
198,Korea University,2019
199,University of Calgary,2019
199,Lomonosov Moscow State University,2019
201,University of Antwerp,2019
201,University of Auckland,2019
201,University of Barcelona,2019
201,University of Bath,2019
201,Bielefeld University,2019
201,Brandeis University,2019
201,University at Buffalo,2019
201,"University of California, Riverside",2019
201,Chalmers University of Technology,2019
201,Copenhagen Business School,2019
201,University of Dundee,2019
201,École des Ponts ParisTech,2019
201,École Normale Supérieure de Lyon,2019
201,University of Fribourg,2019
201,University of Gothenburg,2019
201,University of Hawai’i at Mānoa,2019
201,Hebrew University of Jerusalem,2019
201,University of Hohenheim,2019
201,University of Iowa,2019
201,James Cook University,2019
201,University of Kiel,2019
201,King Abdulaziz University,2019
201,Université Libre de Bruxelles,2019
201,University of Luxembourg,2019
201,Macquarie University,2019
201,University of Massachusetts,2019
201,Medical University of Graz,2019
201,Medical University of Vienna,2019
201,University of Miami,2019
201,University of Otago,2019
201,University of Padua,2019
201,Paris-Sud University,2019
201,University of Passau,2019
201,University of Potsdam,2019
201,Queen’s University Belfast,2019
201,Queensland University of Technology,2019
201,RCSI University of Medicine and Health Sciences,2019
201,University of Reading,2019
201,University of South Australia,2019
201,University of Tampere,2019
201,Tel Aviv University,2019
201,Tilburg University,2019
201,Ulsan National Institute of Science and Technology (UNIST),2019
201,University College Dublin,2019
201,University of Utah,2019
201,Vita-Salute San Raffaele University,2019
201,University of Waterloo,2019
201,William & Mary,2019
201,University of the Witwatersrand,2019
201,University of Wollongong,2019
201,Yonsei University (Seoul campus),2019
251,Brighton and Sussex Medical School,2019
251,University of Canberra,2019
251,University of Cincinnati – Uptown,2019
251,Clark University,2019
251,Colorado School of Mines,2019
251,Dalhousie University,2019
251,University of Delaware,2019
251,University of Essex,2019
251,Flinders University,2019
251,Florida State University,2019
251,Goethe University Frankfurt,2019
251,Griffith University,2019
251,University of Iceland,2019
251,University of Illinois Chicago,2019
251,Indian Institute of Science,2019
251,Constructor University,2019
251,Johannes Gutenberg University of Mainz,2019
251,Université Laval,2019
251,University of Marburg,2019
251,Moscow Institute of Physics and Technology (MIPT),2019
251,University of Navarra,2019
251,North Carolina State University,2019
251,Oregon Health and Science University,2019
251,Osaka University,2019
251,University of Oulu,2019
251,Queen’s University,2019
251,"Royal Holloway, University of London",2019
251,Ruhr University Bochum,2019
251,"St George’s, University of London",2019
251,University of São Paulo,2019
251,Sapienza University of Rome,2019
251,Simon Fraser University,2019
251,University of Southern Denmark,2019
251,University of South Florida (Tampa),2019
251,Stony Brook University,2019
251,University of Stuttgart,2019
251,University of Surrey,2019
251,Swansea University,2019
251,Swedish University of Agricultural Sciences,2019
251,Syracuse University,2019
251,Technical University of Darmstadt,2019
251,University of Texas at Dallas,2019
251,Tohoku University,2019
251,Tokyo Institute of Technology,2019
251,University of Trento,2019
251,TU Wien,2019
251,Virginia Polytechnic Institute and State University,2019
251,Vrije Universiteit Brussel,2019
251,Wake Forest University,2019
301,Aix-Marseille University,2019
301,University of Alaska Fairbanks,2019
301,Alfaisal University,2019
301,American University,2019
301,Anglia Ruskin University (ARU),2019
301,Auckland University of Technology,2019
301,University of Bayreuth,2019
301,"Birkbeck, University of London",2019
301,Boston College,2019
301,University of Bremen,2019
301,University of Canterbury,2019
301,University of Colorado Denver/Anschutz Medical Campus,2019
301,University of Connecticut,2019
301,Curtin University,2019
301,Cyprus University of Technology,2019
301,University of Denver,2019
301,Federal University of Toulouse Midi-Pyrénées,2019
301,George Mason University,2019
301,Grenoble Alpes University,2019
301,Heriot-Watt University,2019
301,University of Houston,2019
301,HSE University,2019
301,Khalifa University,2019
301,La Trobe University,2019
301,University of Liège,2019
301,University of Malaya,2019
301,University of Milan,2019
301,Montpellier University,2019
301,Nagoya University,2019
301,University of Naples Federico II,2019
301,University of Galway,2019
301,University of Newcastle,2019
301,University of New Mexico (Main campus),2019
301,Oregon State University,2019
301,University of Pisa,2019
301,Politecnico di Milano,2019
301,Reykjavík University,2019
301,Southern University of Science and Technology (SUSTech),2019
301,Stellenbosch University,2019
301,Sun Yat-sen University,2019
301,University of Tartu,2019
301,Technion Israel Institute of Technology,2019
301,The University of Tennessee-Knoxville,2019
301,TU Dortmund University,2019
301,Tulane University,2019
301,Umeå University,2019
301,University College Cork,2019
301,Université de Versailles Saint-Quentin-en-Yvelines,2019
301,Victoria University,2019
301,University of Victoria,2019
301,Washington State University,2019
301,Wayne State University,2019
301,Wuhan University,2019
351,Aberystwyth University,2019
351,Aston University,2019
351,Autonomous University of Madrid,2019
351,Babol Noshirvani University of Technology,2019
351,"University of California, Merced",2019
351,"City, University of London",2019
351,University of Côte d’Azur,2019
351,University of Crete,2019
351,University of Cyprus,2019
351,Deakin University,2019
351,Drexel University,2019
351,University of Eastern Finland,2019
351,Free University of Bozen-Bolzano,2019
351,Hanyang University,2019
351,Hofstra University,2019
351,Huazhong University of Science and Technology,2019
351,IMT Atlantique,2019
351,Indian Institute of Technology Indore,2019
351,University of Innsbruck,2019
351,Iowa State University,2019
351,Jordan University of Science and Technology,2019
351,Justus Liebig University Giessen,2019
351,University of Kansas,2019
351,University of Kent,2019
351,Kyung Hee University,2019
351,Linköping University,2019
351,University of Macau,2019
351,Maynooth University,2019
351,University of Modena and Reggio Emilia,2019
351,Nankai University,2019
351,National Research Nuclear University MEPhI,2019
351,University of Nebraska-Lincoln,2019
351,Norwegian University of Science and Technology,2019
351,University of Perugia,2019
351,Rensselaer Polytechnic Institute,2019
351,Rush University,2019
351,Sabancı University,2019
351,University of Salerno,2019
351,University of Siena,2019
351,University of Stirling,2019
351,University of Tasmania,2019
351,Temple University,2019
351,University of Turku,2019
351,United Arab Emirates University,2019
351,University of Vermont,2019
351,Western Sydney University,2019
351,York University,2019
401,The University of Alabama,2019
401,University of Alabama in Huntsville,2019
401,American University of Beirut,2019
401,Australian Catholic University,2019
401,Bangor University,2019
401,University of Bari Aldo Moro,2019
401,Bar-Ilan University,2019
401,University of Bordeaux,2019
401,Brunel University London,2019
401,University of Calabria,2019
401,University of Campinas,2019
401,Catholic University of the Sacred Heart,2019
401,Centrale Nantes,2019
401,CentraleSupélec,2019
401,Charles University,2019
401,Claude Bernard University Lyon 1,2019
401,"Colorado State University, Fort Collins",2019
401,Complutense University of Madrid,2019
401,University of Desarrollo,2019
401,Diego Portales University,2019
401,Dublin City University,2019
401,University of Ferrara,2019
401,University of Florence,2019
401,Florida International University,2019
401,Fujita Health University,2019
401,University of Genoa,2019
401,University of Georgia,2019
401,Georgia State University,2019
401,Graz University of Technology,2019
401,University of Greifswald,2019
401,Gwangju Institute of Science and Technology (GIST),2019
401,Hamburg University of Technology,2019
401,Harbin Institute of Technology,2019
401,Hasselt University,2019
401,Hokkaido University,2019
401,Hong Kong Baptist University,2019
401,Indian Institute of Technology Bombay,2019
401,Indian Institute of Technology Roorkee,2019
401,JSS Academy of Higher Education and Research,2019
401,University of Jyväskylä,2019
401,University of Kaiserslautern,2019
401,University of Kentucky,2019
401,Koç University,2019
401,University of KwaZulu-Natal,2019
401,Kyushu University,2019
401,Leibniz University Hannover,2019
401,University of Lille,2019
401,Loughborough University,2019
401,University of Manitoba,2019
401,Marche Polytechnic University,2019
401,Middlesex University,2019
401,University of Milan-Bicocca,2019
401,University of Montana,2019
401,Murdoch University,2019
401,National Taiwan University of Science and Technology (Taiwan Tech),2019
401,National Tsing Hua University,2019
401,University of Nebraska Medical Center,2019
401,New Mexico Institute of Mining and Technology,2019
401,Northern Arizona University,2019
401,Northumbria University,2019
401,University of Oklahoma,2019
401,Örebro University,2019
401,University of Pavia,2019
401,University of Plymouth,2019
401,Polytechnic University of Bari,2019
401,Polytechnic University of Turin,2019
401,University of Porto,2019
401,University of Portsmouth,2019
401,Qatar University,2019
401,RMIT University,2019
401,University of Rome II – Tor Vergata,2019
401,University of Rome III,2019
401,Rovira i Virgili University,2019
401,Royal Veterinary College,2019
401,University of St Gallen,2019
401,University of Saskatchewan,2019
401,Sciences Po,2019
401,Semmelweis University,2019
401,University of Siegen,2019
401,SOAS University of London,2019
401,University of South Carolina-Columbia,2019
401,University of Strasbourg,2019
401,University of Strathclyde,2019
401,SUNY University at Albany,2019
401,Swinburne University of Technology,2019
401,Tampere University of Technology,2019
401,Teikyo University,2019
401,Tokyo Medical and Dental University (TMDU),2019
401,Tokyo Metropolitan University,2019
401,Tongji University,2019
401,University of Trieste,2019
401,University of Tsukuba,2019
401,The University of Tulsa,2019
401,University of Turin,2019
401,UiT The Arctic University of Norway,2019
401,University of Urbino Carlo Bo,2019
401,University of Valencia,2019
401,Verona University,2019
401,Victoria University of Wellington,2019
401,University of Waikato,2019
401,University of the West of Scotland,2019
401,University of Wisconsin-Milwaukee,2019
501,Amirkabir University of Technology,2019
501,University of Aveiro,2019
501,University of the Balearic Islands,2019
501,Beihang University,2019
501,University of Bergamo,2019
501,Bilkent University,2019
501,Boğaziçi University,2019
501,Bond University,2019
501,Université Bourgogne Franche-Comté (UBFC),2019
501,Bournemouth University,2019
501,University of Brescia,2019
501,Carleton University,2019
501,University of Catania,2019
501,Central Queensland University,2019
501,Charles Darwin University,2019
501,Chemnitz University of Technology,2019
501,"China Medical University, Taiwan",2019
501,Chung-Ang University,2019
501,University of Coimbra,2019
501,Creighton University,2019
501,East China Normal University,2019
501,Edith Cowan University,2019
501,University of Graz,2019
501,University of Guelph,2019
501,Hacettepe University,2019
501,University of Hull,2019
501,Hunan University,2019
501,University of Idaho,2019
501,Indian Institute of Technology Delhi,2019
501,Indian Institute of Technology Kanpur,2019
501,Indian Institute of Technology Kharagpur,2019
501,ITMO University,2019
501,Johannes Kepler University of Linz,2019
501,University of Kashan,2019
501,Keele University,2019
501,Kent State University,2019
501,King Saud University,2019
501,King Saud bin Abdulaziz University for Health Sciences,2019
501,University of La Laguna,2019
501,Lappeenranta-Lahti University of Technology LUT,2019
501,Lehigh University,2019
501,University of Limerick,2019
501,Lincoln University,2019
501,University of Lisbon,2019
501,Liverpool John Moores University,2019
501,Louisiana State University,2019
501,Makerere University,2019
501,"University of Maryland, Baltimore County",2019
501,Massey University,2019
501,Memorial University of Newfoundland,2019
501,Missouri University of Science and Technology,2019
501,Montana State University,2019
501,Nanjing University of Information Science and Technology,2019
501,National and Kapodistrian University of Athens,2019
501,National Cheng Kung University (NCKU),2019
501,National Chiao Tung University,2019
501,National Yang-Ming University,2019
501,University of Neuchâtel,2019
501,New Jersey Institute of Technology,2019
501,Norwegian University of Life Sciences,2019
501,NOVA University of Lisbon,2019
501,Novosibirsk State University,2019
501,Oklahoma State University,2019
501,The Open University,2019
501,Oxford Brookes University,2019
501,University of Palermo,2019
501,Panthéon-Sorbonne University – Paris 1,2019
501,University of Parma,2019
501,Universidad Peruana Cayetano Heredia,2019
501,University of the Philippines,2019
501,Universitat Politècnica de Catalunya,2019
501,Pontifical Javeriana University,2019
501,Renmin University of China,2019
501,Saint Louis University,2019
501,Saint Petersburg State University,2019
501,University of Salento,2019
501,San Diego State University,2019
501,Savitribai Phule Pune University,2019
501,Sejong University,2019
501,Shandong University,2019
501,"Soochow University, China",2019
501,South China University of Technology,2019
501,Southeast University,2019
501,Southern Cross University,2019
501,Stevens Institute of Technology,2019
501,SUNY Binghamton University,2019
501,Taipei Medical University,2019
501,The University of Texas at San Antonio,2019
501,Tianjin University,2019
501,University of Toledo,2019
501,Tomsk Polytechnic University,2019
501,Tomsk State University,2019
501,Universiti Tunku Abdul Rahman (UTAR),2019
501,University of Udine,2019
501,University of Ulsan,2019
501,The University of the West Indies,2019
501,Worcester Polytechnic Institute,2019
501,Xiamen University,2019
501,Xi’an Jiaotong University,2019
601,University of the Aegean,2019
601,The University of Aizu,2019
601,University of Alcalá,2019
601,University of Algarve,2019
601,American University in Cairo,2019
601,Amrita Vishwa Vidyapeetham,2019
601,"University of the Andes, Colombia",2019
601,Aristotle University of Thessaloniki,2019
601,University of Arkansas,2019
601,Athens University of Economics and Business,2019
601,Auburn University,2019
601,Banaras Hindu University,2019
601,University of the Basque Country,2019
601,Baylor University,2019
601,Beijing Institute of Technology,2019
601,University of Beira Interior,2019
601,Ben-Gurion University of the Negev,2019
601,Benha University,2019
601,Beni-Suef University,2019
601,University of Bradford,2019
601,University of Brighton,2019
601,Ca’ Foscari University of Venice,2019
601,University of Cagliari,2019
601,Carlos III University of Madrid,2019
601,Catholic University of Portugal,2019
601,University of Central Florida,2019
601,Central South University,2019
601,Chang Gung University,2019
601,Chiba University,2019
601,University of Chile,2019
601,China Agricultural University,2019
601,"China University of Geosciences, Beijing",2019
601,University of Clermont Auvergne,2019
601,COMSATS University Islamabad,2019
601,Concordia University,2019
601,University of Costa Rica,2019
601,Covenant University,2019
601,Coventry University,2019
601,Dalian University of Technology,2019
601,University of Dayton,2019
601,University of Delhi,2019
601,De Montfort University,2019
601,University of Deusto,2019
601,East China University of Science and Technology,2019
601,Eastern Mediterranean University,2019
601,École Centrale de Lyon,2019
601,École normale supérieure Paris-Saclay,2019
601,Edinburgh Napier University,2019
601,Embry-Riddle Aeronautical University,2019
601,Eötvös Loránd University,2019
601,Ewha Womans University,2019
601,Federal University of Minas Gerais,2019
601,Federal University of Rio de Janeiro,2019
601,Universidade Federal do Rio Grande do Sul,2019
601,Universidade Federal de São Paulo (UNIFESP),2019
601,Federico Santa María Technical University,2019
601,Fordham University,2019
601,Fuzhou University,2019
601,Glasgow Caledonian University,2019
601,University of Granada,2019
601,University of Greenwich,2019
601,University of Haifa,2019
601,University of Hertfordshire,2019
601,Hiroshima University,2019
601,Huazhong Agricultural University,2019
601,University of Huddersfield,2019
601,University of Ibadan,2019
601,Ilmenau University of Technology,2019
601,"Indian Institute of Science Education and Research, Pune",2019
601,Indian Institute of Technology Bhubaneswar,2019
601,Indian Institute of Technology Guwahati,2019
601,Indian Institute of Technology Hyderabad,2019
601,Indian Institute of Technology Madras,2019
601,University of Indonesia,2019
601,University of Ioannina,2019
601,Iran University of Science and Technology,2019
601,ISCTE-University Institute of Lisbon,2019
601,Isfahan University of Technology,2019
601,Istanbul Technical University,2019
601,Jadavpur University,2019
601,Jagiellonian University,2019
601,Jaume I University,2019
601,University of Johannesburg,2019
601,Juntendo University,2019
601,Kafrelsheikh University,2019
601,Kansas State University,2019
601,Kazan Federal University,2019
601,Universiti Kebangsaan Malaysia,2019
601,Keio University,2019
601,Kindai University,2019
601,King Fahd University of Petroleum and Minerals,2019
601,Kingston University,2019
601,Kobe University,2019
601,Konkuk University,2019
601,University of Las Palmas de Gran Canaria,2019
601,Lebanese American University,2019
601,University of Leoben,2019
601,University of Lincoln,2019
601,University of Ljubljana,2019
601,University of Lorraine,2019
601,Louisiana Tech University,2019
601,Mahidol University,2019
601,Manchester Metropolitan University,2019
601,Mansoura University,2019
601,Marquette University,2019
601,Masaryk University,2019
601,Mashhad University of Medical Sciences,2019
601,Middle East Technical University,2019
601,Miguel Hernández University of Elche,2019
601,University of Minho,2019
601,Mississippi State University,2019
601,Monterrey Institute of Technology,2019
601,Nanjing Agricultural University,2019
601,Nanjing Medical University,2019
601,Nanjing Normal University,2019
601,Nanjing Tech University,2019
601,Nantes Université,2019
601,National Autonomous University of Mexico,2019
601,National Institute of Applied Sciences of Lyon (INSA Lyon),2019
601,National Institute of Technology Rourkela,2019
601,National University of Science and Technology (MISiS),2019
601,National Sun Yat-Sen University,2019
601,National Taiwan Normal University,2019
601,"University of Nevada, Las Vegas",2019
601,New Mexico State University (Main campus),2019
601,Nippon Medical School,2019
601,University of North Carolina at Greensboro,2019
601,Northeast Normal University,2019
601,Northwestern Polytechnical University,2019
601,Nottingham Trent University,2019
601,Old Dominion University,2019
601,Open University of Catalonia,2019
601,Otto von Guericke University of Magdeburg,2019
601,University of Oviedo,2019
601,Palacký University Olomouc,2019
601,Panjab University,2019
601,University of Pécs,2019
601,Peter the Great St Petersburg Polytechnic University,2019
601,Polytechnic Institute of Porto,2019
601,Polytechnic University of Valencia,2019
601,Pontificia Universidad Católica de Chile,2019
601,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),2019
601,Portland State University,2019
601,University of Pretoria,2019
601,Pusan National University,2019
601,Université du Québec,2019
601,University of Regina,2019
601,University of Rennes 1,2019
601,Rikkyo University,2019
601,Rochester Institute of Technology,2019
601,Roskilde University,2019
601,RUDN University,2019
601,Universiti Sains Malaysia,2019
601,University of Salamanca,2019
601,University of Salford,2019
601,University of San Diego,2019
601,University of Santiago de Compostela,2019
601,University of Sassari,2019
601,University of Seville,2019
601,Sharif University of Technology,2019
601,Shenzhen University,2019
601,Université de Sherbrooke,2019
601,Shiraz University of Technology,2019
601,Sichuan University,2019
601,Sogang University,2019
601,University of South Alabama,2019
601,University of South Dakota,2019
601,University of Southern Queensland,2019
601,University of Split,2019
